epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,4871.38,2.87317,3.02377,3.6103,0.66893,0.52101,0.55591,0.32139,3.45953,3.1398,3.8911,0.000672675,0.000672675,0.000672675
80,4933.29,2.8739,3.03798,3.60288,0.6343,0.52018,0.5513,0.3185,3.45653,3.15898,3.8489,0.000665339,0.000665339,0.000665339
81,4994.97,2.84718,3.03538,3.59446,0.67598,0.49772,0.56172,0.32531,3.47991,3.19801,3.92162,0.000657963,0.000657963,0.000657963
82,5056.73,2.86626,2.9994,3.59655,0.65747,0.52407,0.5672,0.3241,3.46669,3.18816,3.88773,0.00065055,0.00065055,0.00065055
83,5118.39,2.80254,2.89636,3.55492,0.66989,0.52452,0.56871,0.32995,3.41434,3.18309,3.86712,0.000643101,0.000643101,0.000643101
84,5180.46,2.80155,2.89323,3.53199,0.70814,0.49731,0.56421,0.32926,3.42478,3.17669,3.87339,0.000635617,0.000635617,0.000635617
85,5241.75,2.77546,2.85161,3.52325,0.66264,0.51958,0.56909,0.32689,3.44287,3.10644,3.91284,0.000628101,0.000628101,0.000628101
86,5303.43,2.81628,2.91767,3.5446,0.66455,0.51358,0.56597,0.32963,3.41649,3.09931,3.86771,0.000620555,0.000620555,0.000620555
87,5364.83,2.7861,2.90394,3.52811,0.64535,0.53259,0.57182,0.33137,3.38802,3.10956,3.83077,0.000612981,0.000612981,0.000612981
88,5426.29,2.81562,2.93076,3.56209,0.68572,0.52345,0.57505,0.33717,3.39543,3.10758,3.82954,0.00060538,0.00060538,0.00060538
89,5487.53,2.78052,2.85169,3.50899,0.66699,0.52377,0.5754,0.33451,3.45745,3.11791,3.90068,0.000597754,0.000597754,0.000597754
90,5548.93,2.74263,2.82217,3.50449,0.735,0.5051,0.58661,0.3412,3.3858,3.07215,3.85139,0.000590105,0.000590105,0.000590105
91,5610.17,2.76019,2.78133,3.49194,0.67186,0.53208,0.57912,0.33841,3.40817,3.06524,3.86396,0.000582435,0.000582435,0.000582435
92,5671.62,2.77959,2.84383,3.50908,0.69747,0.52224,0.57866,0.34471,3.41489,3.09697,3.88176,0.000574746,0.000574746,0.000574746
93,5732.89,2.72359,2.77152,3.45722,0.69084,0.52351,0.58073,0.34221,3.43598,3.06652,3.88119,0.00056704,0.00056704,0.00056704
94,5794.24,2.71745,2.73073,3.44861,0.66816,0.54059,0.59157,0.34494,3.4143,3.07005,3.87213,0.000559318,0.000559318,0.000559318
95,5855.71,2.7292,2.73679,3.45065,0.72164,0.51648,0.59029,0.34789,3.42701,3.00684,3.89028,0.000551584,0.000551584,0.000551584
96,5917.05,2.72528,2.68931,3.44773,0.72134,0.5484,0.59669,0.34986,3.39137,2.96525,3.86059,0.000543837,0.000543837,0.000543837
97,5978.4,2.65077,2.63471,3.40548,0.7003,0.52481,0.58484,0.34048,3.40591,3.02506,3.87213,0.000536081,0.000536081,0.000536081
98,6039.66,2.67371,2.66043,3.41044,0.7004,0.53639,0.59171,0.35454,3.39741,3.05317,3.84304,0.000528318,0.000528318,0.000528318
99,6101.08,2.67422,2.67175,3.41405,0.69159,0.53546,0.58895,0.35502,3.36528,3.10447,3.80842,0.000520548,0.000520548,0.000520548
100,6162.51,2.66295,2.64785,3.40457,0.73161,0.51416,0.58956,0.35037,3.36262,3.06647,3.84435,0.000512775,0.000512775,0.000512775
101,6223.76,2.63143,2.63069,3.39997,0.69102,0.54148,0.59037,0.35807,3.35897,3.03204,3.82406,0.000505,0.000505,0.000505
102,6285.1,2.63584,2.59986,3.37551,0.68899,0.53801,0.58319,0.35338,3.32554,3.06484,3.81031,0.000497225,0.000497225,0.000497225
103,6346.35,2.59667,2.49211,3.34059,0.68732,0.54025,0.58999,0.35658,3.36837,3.07079,3.83798,0.000489452,0.000489452,0.000489452
104,6407.83,2.60195,2.52234,3.35619,0.69202,0.53163,0.5922,0.35627,3.35401,3.00502,3.85623,0.000481682,0.000481682,0.000481682
105,6469.11,2.61454,2.56579,3.35372,0.69056,0.53961,0.59315,0.35425,3.37386,3.03468,3.84035,0.000473919,0.000473919,0.000473919
106,6530.61,2.57895,2.55161,3.33892,0.66252,0.55897,0.59847,0.35351,3.35794,2.99414,3.81634,0.000466163,0.000466163,0.000466163
107,6591.87,2.56107,2.50022,3.29943,0.70259,0.53197,0.59853,0.36113,3.3164,3.06492,3.7889,0.000458416,0.000458416,0.000458416
108,6653.31,2.5838,2.49762,3.32421,0.73751,0.53927,0.60498,0.36459,3.33131,3.00335,3.82204,0.000450682,0.000450682,0.000450682
109,6714.48,2.59642,2.4992,3.33838,0.71214,0.54075,0.60172,0.35817,3.36657,3.05788,3.8275,0.00044296,0.00044296,0.00044296
110,6775.66,2.54183,2.45881,3.28358,0.70839,0.54145,0.59212,0.35798,3.33694,3.02901,3.80043,0.000435254,0.000435254,0.000435254
111,6836.97,2.53099,2.42078,3.27086,0.71528,0.52882,0.6027,0.36408,3.31917,2.99116,3.80569,0.000427565,0.000427565,0.000427565
112,6898.41,2.50847,2.41185,3.26658,0.67579,0.55808,0.60157,0.36359,3.33052,2.99794,3.82554,0.000419895,0.000419895,0.000419895
113,6959.84,2.52708,2.40643,3.28668,0.67806,0.55978,0.59904,0.36183,3.32349,3.02017,3.80516,0.000412246,0.000412246,0.000412246
114,7021.19,2.54083,2.41837,3.29532,0.73187,0.55031,0.60214,0.36495,3.3355,3.00111,3.83427,0.00040462,0.00040462,0.00040462
115,7082.49,2.5058,2.41176,3.25127,0.68912,0.55723,0.59741,0.36382,3.33384,3.01676,3.82144,0.000397019,0.000397019,0.000397019
116,7143.64,2.4985,2.36919,3.25391,0.71204,0.5389,0.59955,0.36716,3.33417,3.06129,3.82765,0.000389445,0.000389445,0.000389445
117,7205.01,2.49934,2.39576,3.26448,0.70085,0.54129,0.59797,0.3672,3.30213,3.03005,3.79673,0.000381899,0.000381899,0.000381899
118,7266.43,2.48183,2.37535,3.24813,0.6707,0.5491,0.59955,0.36583,3.31371,3.0091,3.7882,0.000374383,0.000374383,0.000374383
119,7327.68,2.4476,2.298,3.20626,0.70036,0.54931,0.59948,0.36807,3.28258,3.04726,3.79804,0.000366899,0.000366899,0.000366899
120,7388.93,2.47236,2.33923,3.23511,0.71012,0.55236,0.6001,0.36706,3.30168,3.01395,3.79406,0.00035945,0.00035945,0.00035945
121,7450.22,2.48444,2.35432,3.23002,0.68775,0.57052,0.60877,0.37089,3.29998,2.99812,3.81242,0.000352037,0.000352037,0.000352037
122,7511.63,2.43009,2.2784,3.19237,0.73738,0.54464,0.61108,0.37202,3.29713,3.02909,3.80775,0.000344661,0.000344661,0.000344661
123,7572.9,2.42969,2.27639,3.16765,0.72608,0.56096,0.61121,0.3732,3.31913,2.97148,3.82517,0.000337325,0.000337325,0.000337325
124,7634.18,2.43018,2.26231,3.1801,0.73946,0.56302,0.61433,0.37217,3.33941,2.99297,3.83596,0.00033003,0.00033003,0.00033003
125,7695.44,2.3938,2.28043,3.16929,0.75398,0.54756,0.61696,0.37116,3.33939,3.01468,3.82414,0.000322778,0.000322778,0.000322778
126,7756.72,2.39096,2.22777,3.1638,0.80138,0.53114,0.62216,0.3742,3.34688,3.00298,3.83261,0.000315572,0.000315572,0.000315572
127,7818.08,2.3846,2.25038,3.14351,0.73775,0.56329,0.61514,0.37293,3.3324,3.0241,3.84075,0.000308412,0.000308412,0.000308412
128,7879.45,2.40552,2.25466,3.17265,0.75576,0.53535,0.612,0.37163,3.33191,2.99609,3.86848,0.0003013,0.0003013,0.0003013
129,7940.98,2.3981,2.24856,3.14597,0.74085,0.5492,0.6142,0.37495,3.32523,3.00215,3.84782,0.000294239,0.000294239,0.000294239
130,8002.21,2.33689,2.1948,3.11628,0.72118,0.55464,0.61551,0.37307,3.33461,2.98653,3.86141,0.00028723,0.00028723,0.00028723
131,8063.73,2.35105,2.16884,3.10893,0.73978,0.54229,0.61402,0.37551,3.32933,2.97458,3.84916,0.000280275,0.000280275,0.000280275
132,8125.1,2.34398,2.17583,3.10808,0.78812,0.53177,0.62171,0.37975,3.33025,2.99244,3.85243,0.000273375,0.000273375,0.000273375
133,8186.43,2.3396,2.15245,3.10814,0.77537,0.54713,0.61798,0.37737,3.32062,3.03241,3.85204,0.000266532,0.000266532,0.000266532
134,8247.87,2.34533,2.18724,3.10599,0.76936,0.54098,0.61773,0.37786,3.30258,3.00834,3.84269,0.000259748,0.000259748,0.000259748
135,8309.26,2.33952,2.22557,3.11441,0.75782,0.53337,0.61878,0.37862,3.30825,2.9984,3.84471,0.000253024,0.000253024,0.000253024
136,8370.65,2.34049,2.18874,3.11715,0.7582,0.5409,0.61851,0.3797,3.29254,3.00927,3.83823,0.000246363,0.000246363,0.000246363
137,8431.97,2.29536,2.15461,3.0716,0.7632,0.5429,0.61838,0.37888,3.28422,3.00084,3.83773,0.000239766,0.000239766,0.000239766
138,8493.41,2.30132,2.12945,3.0733,0.76598,0.54673,0.61915,0.37869,3.27988,3.00717,3.84339,0.000233234,0.000233234,0.000233234
139,8554.6,2.28222,2.11511,3.06923,0.7445,0.55773,0.61576,0.37756,3.27373,3.0183,3.84179,0.000226769,0.000226769,0.000226769
140,8615.79,2.31899,2.12127,3.08804,0.7259,0.55804,0.61657,0.37972,3.29484,2.98715,3.85047,0.000220372,0.000220372,0.000220372
141,8677.12,2.30124,2.12926,3.07113,0.7372,0.56477,0.62437,0.38077,3.29981,2.98265,3.8512,0.000214046,0.000214046,0.000214046
142,8738.33,2.29067,2.14526,3.07396,0.76546,0.54811,0.6243,0.38333,3.2877,2.99278,3.83826,0.000207792,0.000207792,0.000207792
143,8799.74,2.27069,2.10217,3.06258,0.74495,0.55909,0.62309,0.3835,3.27581,3.00276,3.84648,0.000201611,0.000201611,0.000201611
144,8860.99,2.29225,2.10073,3.07701,0.7516,0.55422,0.61933,0.38308,3.2759,3.0148,3.85189,0.000195505,0.000195505,0.000195505
