epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,79838.9,3.0117,4.01925,3.55589,0.45894,0.36575,0.36549,0.2165,3.51421,3.89118,3.98508,9.2704e-05,9.2704e-05,9.2704e-05
124,79902.3,2.99399,3.9831,3.53008,0.47348,0.37381,0.37093,0.22071,3.49607,3.86204,3.98151,8.70577e-05,8.70577e-05,8.70577e-05
125,79965.9,2.98064,3.98357,3.52445,0.46011,0.37771,0.3683,0.21746,3.51571,3.88976,3.99201,8.15947e-05,8.15947e-05,8.15947e-05
126,80029.5,2.98518,3.94066,3.52863,0.48869,0.36743,0.37092,0.22078,3.50291,3.88329,3.98267,7.63174e-05,7.63174e-05,7.63174e-05
127,80093.3,2.97987,3.93058,3.52031,0.49279,0.36407,0.36892,0.21885,3.50436,3.90109,3.98042,7.12282e-05,7.12282e-05,7.12282e-05
128,80156.9,3.00811,4.0096,3.56619,0.47449,0.37339,0.37314,0.22106,3.50063,3.89528,3.98289,6.63292e-05,6.63292e-05,6.63292e-05
129,80220.2,2.91324,3.87321,3.49307,0.47365,0.37991,0.37566,0.22206,3.50035,3.85398,3.98289,6.16227e-05,6.16227e-05,6.16227e-05
130,80283.5,2.98299,4.00209,3.53047,0.48668,0.37204,0.37379,0.22158,3.49812,3.84748,3.98422,5.71106e-05,5.71106e-05,5.71106e-05
131,80346.6,2.96808,3.92234,3.52568,0.48228,0.37698,0.37239,0.22005,3.49555,3.84031,3.97784,5.2795e-05,5.2795e-05,5.2795e-05
132,80409.9,2.98172,3.93559,3.52792,0.48872,0.37306,0.37018,0.2175,3.5036,3.86372,3.98721,4.86777e-05,4.86777e-05,4.86777e-05
133,80473,2.97623,3.94458,3.52791,0.47692,0.36583,0.36619,0.2169,3.50075,3.87897,3.98061,4.47606e-05,4.47606e-05,4.47606e-05
134,80536.5,2.9726,3.92258,3.52831,0.47818,0.3686,0.3673,0.21857,3.49058,3.87049,3.97509,4.10454e-05,4.10454e-05,4.10454e-05
135,80599.6,2.9119,3.87236,3.48684,0.4948,0.363,0.36871,0.22007,3.48451,3.85732,3.96966,3.75337e-05,3.75337e-05,3.75337e-05
